78 79
16 110
95 92
135 77
91 64
101 60
130 47
88 97
86 71
46 78
79 50
113 58
108 55
129 78
60 76
105 90
121 96
98 46
62 40
76 70
34 149
56 105
78 45
52 57
49 97
72 100
139 91
124 45
79 55
17 1
72 82
59 75
55 84
110 44
57 81
46 87
80 75
102 72
90 68
109 63
121 54
137 62
242 54
127 69
104 133
62 92
77 45
58 76
12 10
49 91
64 51
69 74
50 80
27 47
0 0
96 122
130 65
120 51
66 64
59 91
38 67
68 63
54 33
89 60
25 88
69 69
75 34
91 55
104 41
47 63
64 39
50 47
89 59
64 43
72 32
55 69
22 96
47 81
77 53
83 40
79 43
72 55
87 37
85 61
44 64
65 57
56 45
75 63
63 39
61 48
51 33
58 57
79 58
98 47
69 43
63 35
50 43
69 46
36 49
61 46
0 0
145 97
68 55
44 62
71 63
78 53
51 50
56 43
87 50
47 47
53 41
40 44
71 54
50 40
85 67
75 58
33 53
58 49
51 46
90 60
55 56
67 55
100 43
106 53
46 50
75 57
106 49
27 48
59 36
81 48
106 29
89 44
45 80
82 60
141 47
112 36
118 39
38 54
180 60
95 54
121 63
89 63
75 59
84 55
48 66
122 48
53 42
86 50
44 56
71 48
77 47
86 36
50 56
31 71
44 61
78 40
89 34
86 42
54 50
23 55
68 54
56 51
71 38
41 42
64 48
75 52
117 64
82 71
176 56
90 44
69 39
88 39
68 49
56 42
55 38
18 33
35 49
64 33
76 41
13 36
58 42
29 37
14 224
25 94
77 49
60 53
28 37
118 34
12 41
54 49
24 52
33 39
40 55
44 48
67 64
59 54
45 44
76 48
57 62
55 62
59 49
180 59
103 45
33 48
56 41
134 42
78 35
43 46
25 40
22 47
38 0
41 28
13 49
48 41
32 55
24 46
20 52
39 49
0 0
53 41
21 55
87 36
36 44
20 35
49 55
66 38
165 31
117 45
56 42
47 33
15 36
47 33
15 36
10 49
195 31
169 26
89 22
123 35
76 38
28 32
75 22
115 30
77 39
16 28
64 35
67 49
380 38
120 37
47 30
60 41
129 41
101 29
92 48
87 42
102 43
20 39
83 32
70 39
53 39
58 48
46 41
NA 57
NA 40
NA 31
NA 58
43 57
31 40
53 31
43 58
54 33
7 46
59 39
61 37
28 49
89 42
46 33
19 37
73 NA
109 NA
80 49
99 44
73 41
109 40
NA 38
NA 37
19 32
61 41
44 13
63 27
55 23
59 34
57 22
64 33
64 28
53 42
35 28
33 21
76 30
65 34
59 39
64 52
52 39
41 22
15 51
30 54
2 45
201 57
59 38
60 50
361 37
2 36
82 40
54 50
NA 42
NA 65
NA 80
NA 46
73 33
23 14
137 22
101 18
91 25
84 29
85 44
212 27
29 26
32 45
69 53
85 58
73 29
103 24
16 25
48 26
165 21
140 20
79 14
114 18
97 28
62 17
79 NA
72 NA
63 NA
75 NA
97 45
125 45
68 23
46 37
46 76
53 34
93 61
67 53
NA 37
NA 79
NA 32
NA 36
173 NA
85 NA
55 45
74 57
229 38
55 50
63 20
78 21
136 27
90 26
66 34
91 20
96 21
94 39
94 NA
70 NA
129 21
85 21
67 22
94 23
94 21
113 19
91 28
86 11
94 28
66 26
91 38
120 23
72 21
63 23
60 29
51 32
51 27
73 17
73 28
82 16
68 15
65 27
65 22
46 26
20 31
43 23
60 21
85 27
